,id,articulation
0,Samir Kishk,0
1,Mohammad Pervez,0
2,Jerome Courtaillier,0
3,Fayez Ahmed,0
4,Waleed Alshehri,0
5,Salem Alhazmi,0
6,Mustafa Ahmed al-Hisawi,0
7,Mohammed Belfas,0
8,Imad Eddin Barakat Yarkas,0
9,Seifallah ben Hassine,0
10,Abu Zubeida,0
11,Agus Budiman,0
12,Nizar Trabelsi,0
13,Usman Bandukra,1
14,Mohammed Jaweed Azmath,0
15,Mohamed Abdi,0
16,Ayub Ali Khan,0
17,Essoussi Laaroussi,0
18,Abdelghani Mzoudi,0
19,Majed Moqed,0
20,Raed Hijazi,1
21,Rayed Mohammed Abdullah,0
22,Nawaf Alhazmi,1
23,Karim Koubriti,0
24,Mounir El Motassadeq ,0
25,Nabil al-Marabh,0
26,Zacarias Moussaoui,0
27,Ahmed Khalil Ibrahim Samir Al-Ani,0
28,Abdul Aziz Al-Omari,0
29,Mehdi Khammoun,0
30,Abu Walid,0
31,Ziad Jarrah,0
32,Saeed Alghamdi,0
33,Osama Awadallah,0
34,Madjid Sahoune,0
35,Zakariya Essabar,0
36,Mohamed Bensakhria,0
37,Fahid al Shakri,0
38,Abu Qatada,0
39,Jean-Marc Grandvisir,0
40,Mohand Alshehri,0
41,Said Bahaji,0
42,Ramzi Bin al-Shibh,0
43,Ahmed Ressam,0
44,Hani Hanjour,0
45,Mamduh Mahmud Salim,0
46,Hamza Alghamdi,0
47,Bandar Alhazmi,0
48,Djamal Beghal,1
49,Kamel Daoudi,0
50,Essid Sami Ben Khemais,1
51,Ahmed Alnami,0
52,Nabil Almarabh,0
53,Tarek Maaroufi,0
54,Marwan Al-Shehhi,0
55,Lased Ben Heni,0
56,Ahmed Alghamdi,0
57,Ahmen Hannan,0
58,Satam Suqami,0
59,Haydar Abu Doha,0
60,Khalid Al-Mihdhar,0
61,Faisal Al Salmi,0
62,David Courtaillier,0
63,Ahmed Al Haznawi,0
64,Mohamed Atta,1
65,Mamoun Darkazanli,1
66,Lotfi Raissi,0
67,Wail Alshehri,0
68,Abdussattar Shaikh,0
